Betyg,Flottig,Knaprig,Rostad,Salt,TBF,Nöt,Timestamp,Kommentar
4,5,3,5,4,ARN,Exotic snacks - Salta jordnötter,2016-09-24T17:18:00+0200,
5,5,4,3,3,ARN,Hemrostade - lättrostade,2016-09-24T16:28:39+0200,
4,4,4,4,4,ARN,Favorit - Jumbo jordnötter,2016-09-24T17:50:05+0200,
3,5,3,3,2,ARN,Estrella - Rostade jordnötter utan salt,2016-09-24T16:29:43+0200,
4,5,4,3,3,ARN,"Rostade, saltade jordnötter från Fram Järntorget",2016-09-24T17:03:58+0200,
6,4,5,3,5,ARN,Sainsbury's - Sea salt & cider vinegar jumbo peanuts,2016-09-24T17:19:03+0200,
6,5,3,5,5,ARN,Garant - Torrostade jordnötter,2016-09-24T16:16:19+0200,
5,5,5,5,4,ARN,Saigon - Jumbo jordnötter ,2016-09-24T17:51:18+0200,
6,4,6,6,5,ARN,ICA - Torrostade jordnötter,2016-09-24T16:27:14+0200,
6,4,4,4,4,ARN,ICA Basic - jordnötter,2016-09-24T16:28:01+0200,
3,5,5,5,3,ARN,Smiling - Ekologiska jordnötter - torrostade och havssaltade,2016-09-24T16:25:29+0200,
5,4,6,5,5,ARN,Eldorado - Rostade & saltade jordnötter,2016-09-24T17:49:35+0200,
6,5,5,5,5,ARN,Estrella - Salta jordnötter,2016-09-24T17:50:52+0200,
5,5,6,4,5,ARN,OLW - Virginia traditional - large peanuts,2016-09-24T16:30:32+0200,
6,5,5,4,6,ARN,OLW - Klassiska salta jordnötter,2016-09-24T17:03:26+0200,
3,5,3,5,4,ARN,Garant - Extra stora jordnötter,2016-09-24T16:26:34+0200,
5,1,7,1,1,ATG,Asia express - Roasted peanuts in shell,2016-09-24T17:02:24+0200,
5,5,6,5,5,ATG,Exotic snacks - Salta jordnötter,2016-09-24T17:44:12+0200,
6,4,6,6,4,ATG,ICA - Jordnötter rostade och saltade ,2016-09-24T17:43:03+0200,
1,3,2,2,2,ATG,Hemrostade - lättrostade,2016-09-24T16:55:56+0200,
2,5,3,6,4,ATG,Favorit - Jumbo jordnötter,2016-09-24T17:46:40+0200,
3,5,5,2,2,ATG,Estrella - Rostade jordnötter utan salt,2016-09-24T17:16:27+0200,
2,2,3,2,2,ATG,"Rostade, saltade jordnötter från Fram Järntorget",2016-09-24T16:25:13+0200,
5,5,5,2,6,ATG,Sainsbury's - Sea salt & cider vinegar jumbo peanuts,2016-09-24T17:45:13+0200,
5,5,3,2,2,ATG,Hemrostade - medelrostade,2016-09-24T16:37:35+0200,
2,3,5,6,7,ATG,Garant - Torrostade jordnötter,2016-09-24T17:41:54+0200,
3,2,4,2,6,ATG,Saigon - Jumbo jordnötter ,2016-09-24T16:29:18+0200,
5,1,7,7,2,ATG,ICA - Torrostade jordnötter,2016-09-24T16:50:23+0200,
2,5,5,5,4,ATG,ICA Basic - jordnötter,2016-09-24T16:54:02+0200,
6,2,7,7,4,ATG,OLW - Torrostade jordnötter,2016-09-24T16:52:23+0200,
4,1,6,5,2,ATG,Smiling - Ekologiska jordnötter - torrostade och havssaltade,2016-09-24T16:33:29+0200,
6,6,5,5,6,ATG,Eldorado - Rostade & saltade jordnötter,2016-09-24T17:48:05+0200,
7,5,7,6,5,ATG,Estrella - Salta jordnötter,2016-09-24T16:30:22+0200,
6,5,4,4,7,ATG,OLW - Virginia traditional - large peanuts,2016-09-24T17:17:39+0200,
6,4,5,5,6,ATG,OLW - Klassiska salta jordnötter,2016-09-24T16:26:58+0200,
4,6,7,6,3,ATG,Garant - Extra stora jordnötter,2016-09-24T16:35:01+0200,
5,1,4,1,1,CDN,Asia express - Roasted peanuts in shell,2016-09-24T16:18:59+0200,
6,6,6,3,3,CDN,ICA - Jordnötter rostade och saltade ,2016-09-24T17:18:54+0200,very nice
5,3,4,2,2,CDN,Hemrostade - lättrostade,2016-09-24T16:22:14+0200,
2,6,3,4,2,CDN,Sainsbury's - Sea salt & cider vinegar jumbo peanuts,2016-09-24T17:29:21+0200,
4,6,5,2,2,CDN,Hemrostade - medelrostade,2016-09-24T16:40:34+0200,good but ton little salt
4,3,4,6,4,CDN,Garant - Torrostade jordnötter,2016-09-24T17:17:22+0200,to smokey
6,6,5,3,6,CDN,Saigon - Jumbo jordnötter ,2016-09-24T16:31:19+0200,
3,3,6,5,4,CDN,ICA - Torrostade jordnötter,2016-09-24T16:48:35+0200,
5,6,6,6,6,CDN,ICA Basic - jordnötter,2016-09-24T16:42:26+0200,good! roasted but not bitter
4,4,3,6,4,CDN,OLW - Torrostade jordnötter,2016-09-24T16:26:33+0200,little bitter
3,4,2,3,2,CDN,Smiling - Ekologiska jordnötter - torrostade och havssaltade,2016-09-24T16:21:17+0200,
6,6,5,4,5,CDN,Eldorado - Rostade & saltade jordnötter,2016-09-24T16:20:06+0200,
3,6,6,7,4,CDN,Garant - Extra stora jordnötter,2016-09-24T16:33:55+0200,
2,1,7,1,1,DAG,Asia express - Roasted peanuts in shell,2016-09-24T17:21:55+0200,
6,3,5,5,4,DAG,Exotic snacks - Salta jordnötter,2016-09-24T17:13:24+0200,
4,4,4,3,4,DAG,ICA - Jordnötter rostade och saltade ,2016-09-24T17:13:56+0200,
4,3,4,5,3,DAG,Favorit - Jumbo jordnötter,2016-09-24T17:29:28+0200,
6,6,5,5,5,DAG,Estrella - Rostade jordnötter utan salt,2016-09-24T17:17:19+0200,
2,2,5,5,2,DAG,"Rostade, saltade jordnötter från Fram Järntorget",2016-09-24T17:15:16+0200,
5,3,5,5,3,DAG,Sainsbury's - Sea salt & cider vinegar jumbo peanuts,2016-09-24T17:15:58+0200,
