"Timestamp","Din TBF","Jordnötens nummer","Betygsätt totalupplevelsen","Salt","Knaprig","Rostad","Flottig","Kommentar"
"2016-09-24 18:04:32 +0200","MMX","17","3","3","5","2","2","Färsk"
"2016-09-24 18:05:26 +0200","MMX","11","5","6","2","4","4",""
"2016-09-24 18:06:22 +0200","MMX","7","3","1","1","1","1",""
"2016-09-24 18:06:53 +0200","MMX","4","1","1","1","1","1",""
"2016-09-24 18:06:56 +0200","NPV","18","3","5","5","4","6","Lite besk på nåt sätt, men det kan vara ölen som gör det!"
"2016-09-24 18:06:57 +0200","PTP","18","3","6","6","4","3",""
"2016-09-24 18:07:11 +0200","GIS","17","4","5","5","3","5",""
"2016-09-24 18:07:24 +0200","DDR","17","4","6","3","1","7",""
"2016-09-24 18:07:52 +0200","MMX","3","3","4","5","1","1",""
"2016-09-24 18:07:56 +0200","GIS","17","5","4","5","3","5","Ok"
"2016-09-24 18:08:16 +0200","DDR","18","5","5","4","1","5","Ärtig "
"2016-09-24 18:08:24 +0200","PTP","17","4","6","4","4","4",""
"2016-09-24 18:08:29 +0200","MMX","6","4","1","7","1","1",""
"2016-09-24 18:08:34 +0200","NPV","10","6","3","5","5","2","God! Ovanlig."
"2016-09-24 18:08:40 +0200","HVB","3","6","4","6","1","6",""
"2016-09-24 18:09:25 +0200","HVB","17","6","6","6","2","5",""
"2016-09-24 18:09:46 +0200","MMX","13","4","4","6","4","5",""
"2016-09-24 18:09:51 +0200","PTP","16","6","5","5","3","4",""
"2016-09-24 18:10:07 +0200","DDR","10","3","4","6","6","3",""
"2016-09-24 18:10:35 +0200","NPV","15","3","2","5","2","1","Lite tråkig och torr."
"2016-09-24 18:10:49 +0200","MMX","14","7","6","6","6","4",""
"2016-09-24 18:12:02 +0200","NPV","20","5","6","6","6","5","Klassisk, god! No bullshit jordnöt."
"2016-09-24 18:12:28 +0200","PTP","15","6","3","4","3","2","GOTT!"
"2016-09-24 18:12:38 +0200","MMX","12","6","2","6","6","4",""
"2016-09-24 18:13:16 +0200","FTV","1","3","1","5","3","1",""
"2016-09-24 18:13:31 +0200","NPV","9","1","2","2","1","1","Tråkig"
"2016-09-24 18:13:36 +0200","MMX","9","2","1","2","3","1","Torr..."
"2016-09-24 18:13:36 +0200","GIS","19","3","4","3","3","5","Lite mjuk"
"2016-09-24 18:14:18 +0200","MMX","5","4","3","3","3","7",""
"2016-09-24 18:14:30 +0200","PTP","14","2","4","4","4","4","Burr!"
"2016-09-24 18:14:34 +0200","HVB","2","6","4","6","2","4",""
"2016-09-24 18:15:03 +0200","MMX","16","6","3","2","3","7",""
"2016-09-24 18:15:06 +0200","GIS","13","3","3","4","4","5","Smakade inte så mycket"
"2016-09-24 18:15:08 +0200","FTV","3","5","3","5","6","4",""
"2016-09-24 18:15:28 +0200","DDR","11","5","5","6","5","4",""
