"Timestamp","Din TBF","Jordnötens nummer","Salt","Knaprig","Rostad","Flottig","Betygsätt totalupplevelsen","Kommentar"
"2016-09-24 18:18:59 +0200","CDN",1,1,4,1,1,5,""
"2016-09-24 18:20:06 +0200","cdn",16,5,5,4,6,6,""
"2016-09-24 18:21:17 +0200","cdn",15,2,2,3,4,3,""
"2016-09-24 18:22:14 +0200","cdn",4,2,4,2,3,5,""
"2016-09-24 18:23:17 +0200","cdn",13,3,5,4,5,3,"little bitter"
"2016-09-24 18:26:33 +0200","CDN",14,4,3,6,4,4,"little bitter"
"2016-09-24 18:28:53 +0200","ghg",4,2,2,2,2,3,""
"2016-09-24 18:31:19 +0200","cdn",11,6,5,3,6,6,""
"2016-09-24 18:32:51 +0200","ddr",4,4,6,2,2,5,""
"2016-09-24 18:33:55 +0200","cdn",20,4,6,7,6,3,""
"2016-09-24 18:40:34 +0200","cdn",9,2,5,2,6,4,"good but ton little salt"
"2016-09-24 18:42:26 +0200","cdn",13,6,6,6,6,5,"good! roasted but not bitter"
"2016-09-24 18:45:19 +0200","DDR",9,3,4,3,3,4,""
"2016-09-24 18:48:35 +0200","cdn",12,4,6,5,3,3,""
"2016-09-24 18:49:40 +0200","ghg",1,1,5,2,1,5,""
"2016-09-24 18:53:01 +0200","ghg",2,6,4,3,4,3,""
"2016-09-24 19:02:03 +0200","ghg",8,3,4,4,6,5,"vinäger!?"
"2016-09-24 19:03:52 +0200","tpp",7,3,3,1,2,2,""
"2016-09-24 19:04:18 +0200","tpp",19,5,5,4,5,6,""
"2016-09-24 19:05:38 +0200","tpp",11,5,5,5,5,6,""
"2016-09-24 19:06:08 +0200","tpp",17,4,4,4,4,4,""
"2016-09-24 19:06:22 +0200","tpp",11,7,7,7,7,7,""
"2016-09-24 19:08:34 +0200","ghg",7,2,3,4,3,4,""
"2016-09-24 19:13:12 +0200","ghg",13,4,5,5,3,6,""
"2016-09-24 19:14:15 +0200","DDR",19,6,5,5,4,6,""
"2016-09-24 19:16:08 +0200","DDR",18,6,4,4,5,5,""
"2016-09-24 19:17:22 +0200","cdn",10,4,4,6,3,4,"to smokey"
"2016-09-24 19:18:54 +0200","cdn",3,3,6,3,6,6,"very nice"
"2016-09-24 19:19:56 +0200","ghg",14,4,3,5,1,2,""
"2016-09-24 19:23:43 +0200","ghg",12,6,5,5,2,2,""
"2016-09-24 19:25:37 +0200","ghg",15,4,5,4,2,3,"lite syrlig?"
"2016-09-24 19:29:21 +0200","cdn",8,2,3,4,6,2,""
"2016-09-24 19:30:53 +0200","ghg",20,5,7,6,5,5,""
"2016-09-24 19:32:23 +0200","scb",1,1,5,1,1,7,""
"2016-09-24 19:32:53 +0200","scb",2,5,5,5,5,4,""
"2016-09-24 19:33:19 +0200","scb",3,5,6,6,4,4,""
"2016-09-24 19:33:55 +0200","scb",4,3,4,4,3,4,""
"2016-09-24 19:34:39 +0200","scb",5,3,2,2,5,1,""
"2016-09-24 19:35:31 +0200","scb",6,2,4,7,1,2,""
"2016-09-24 19:36:22 +0200","scb",7,4,2,4,4,3,""
"2016-09-24 19:36:48 +0200","scb",8,4,3,2,7,1,""
"2016-09-24 19:37:21 +0200","scb",9,3,4,3,3,3,""
"2016-09-24 19:37:46 +0200","scb",10,3,4,4,4,3,""
"2016-09-24 19:38:06 +0200","scb",11,4,2,3,4,2,""
"2016-09-24 19:38:31 +0200","scb",12,4,5,5,2,4,""
"2016-09-24 19:39:05 +0200","scb",13,3,5,3,3,3,""
"2016-09-24 19:41:07 +0200","tpp",6,4,3,6,4,7,"Freja"
"2016-09-24 19:41:33 +0200","scb",19,3,6,5,3,6,""
"2016-09-24 19:41:59 +0200","scb",15,2,4,2,2,2,""
"2016-09-24 19:42:24 +0200","scb",16,4,6,6,4,5,""
"2016-09-24 19:42:47 +0200","scb",4,4,5,5,3,4,""
"2016-09-24 19:43:09 +0200","scb",18,3,6,5,4,4,""
"2016-09-24 19:43:26 +0200","scb",14,5,3,3,2,3,""
"2016-09-24 19:43:46 +0200","scb",20,2,6,5,6,1,""
